Region,Year,Population
Melbourne - Inner,2019,670256
Melbourne - Inner,2020,670684
Melbourne - Inner,2021,626913
Melbourne - Inner,2022,633800
Melbourne - Inner,2023,672768
Melbourne - Inner,2024,698038
Melbourne - West,2019,841435
Melbourne - West,2020,860519
Melbourne - West,2021,864113
Melbourne - West,2022,884361
Melbourne - West,2023,919822
Melbourne - West,2024,951672
Geelong,2019,312221
Geelong,2020,320328
Geelong,2021,327615
Geelong,2022,334169
Geelong,2023,341215
Geelong,2024,348800
Mornington Peninsula,2019,310564
Mornington Peninsula,2020,312377
Mornington Peninsula,2021,311264
Mornington Peninsula,2022,310561
Mornington Peninsula,2023,312518
Mornington Peninsula,2024,315148
Ballarat,2019,168399
Ballarat,2020,170883
Ballarat,2021,173311
Ballarat,2022,175799
Ballarat,2023,178305
Ballarat,2024,181756
Bendigo,2019,163120
Bendigo,2020,165406
Bendigo,2021,167266
Bendigo,2022,168747
Bendigo,2023,170392
Bendigo,2024,172113
Latrobe - Gippsland,2019,289830
Latrobe - Gippsland,2020,294831
Latrobe - Gippsland,2021,299912
Latrobe - Gippsland,2022,303843
Latrobe - Gippsland,2023,307000
Latrobe - Gippsland,2024,310277
